STATENAME,URL,WEBSITE,ACTIVITYESTIMATE,WEEKEND,WEEK,SEASON
Alabama,http://adph.org/influenza/,Influenza Surveillance,No Activity,Oct-06-2018,40,2018-19
Alabama,http://adph.org/influenza/,Influenza Surveillance,Sporadic,Oct-13-2018,41,2018-19
Alabama,http://adph.org/influenza/,Influenza Surveillance,Sporadic,Oct-20-2018,42,2018-19
Alabama,http://adph.org/influenza/,Influenza Surveillance,Sporadic,Oct-27-2018,43,2018-19
Alabama,http://adph.org/influenza/,Influenza Surveillance,Sporadic,Nov-03-2018,44,2018-19
Alabama,http://adph.org/influenza/,Influenza Surveillance,Sporadic,Nov-10-2018,45,2018-19
Alabama,http://adph.org/influenza/,Influenza Surveillance,Sporadic,Nov-17-2018,46,2018-19
Alabama,http://adph.org/influenza/,Influenza Surveillance,Sporadic,Nov-24-2018,47,2018-19
Alabama,http://adph.org/influenza/,Influenza Surveillance,Sporadic,Dec-01-2018,48,2018-19
Alabama,http://adph.org/influenza/,Influenza Surveillance,Local Activity,Dec-08-2018,49,2018-19
Alabama,http://adph.org/influenza/,Influenza Surveillance,Widespread,Dec-15-2018,50,2018-19
Alabama,http://adph.org/influenza/,Influenza Surveillance,Regional,Dec-22-2018,51,2018-19
Alabama,http://adph.org/influenza/,Influenza Surveillance,Widespread,Dec-29-2018,52,2018-19
Alabama,http://adph.org/influenza/,Influenza Surveillance,Widespread,Jan-05-2019,1,2018-19
Alabama,http://adph.org/influenza/,Influenza Surveillance,Regional,Jan-12-2019,2,2018-19
Alabama,http://adph.org/influenza/,Influenza Surveillance,Widespread,Jan-19-2019,3,2018-19
Alabama,http://adph.org/influenza/,Influenza Surveillance,Widespread,Jan-26-2019,4,2018-19
Alabama,http://adph.org/influenza/,Influenza Surveillance,Widespread,Feb-02-2019,5,2018-19
Alabama,http://adph.org/influenza/,Influenza Surveillance,Widespread,Feb-09-2019,6,2018-19
Alabama,http://adph.org/influenza/,Influenza Surveillance,Widespread,Feb-16-2019,7,2018-19
Alabama,http://adph.org/influenza/,Influenza Surveillance,Widespread,Feb-23-2019,8,2018-19
Alabama,http://adph.org/influenza/,Influenza Surveillance,Widespread,Mar-02-2019,9,2018-19
Alabama,http://adph.org/influenza/,Influenza Surveillance,Widespread,Mar-09-2019,10,2018-19
